marker,year,prop_neg,n
suri,2003,0.0,1
suri,2004,1.0,2
suri,2005,0.5,2
suri,2006,0.5,2
suri,2007,0.3333333333333333,3
suri,2008,1.0,1
suri,2009,0.3333333333333333,9
suri,2010,1.0,3
suri,2011,0.7614678899082569,109
suri,2012,0.7656675749318801,367
suri,2013,0.784688995215311,209
suri,2014,0.8355263157894737,456
suri,2015,0.8363095238095238,336
suri,2016,0.8246575342465754,730
suri,2017,0.8244274809160306,917
suri,2018,0.8497109826589595,1384
suri,2019,0.8298561151079137,2780
suri,2020,0.8285714285714286,1260
suri,2021,0.8599455040871935,1835
suri,2022,0.830607476635514,3424
suri,2023,0.8513513513513513,1776
suri,2024,0.8416401555319901,2829
suri,2025,0.7958333333333333,720
