origin_label,year_created,n_titles,mean_title_sent
MigrantBlock,2000,4,-0.08213276119395459
MigrantBlock,2001,2,-0.012010810129782723
MigrantBlock,2002,5,0.06303713638813067
MigrantBlock,2003,4,-0.11051679800090393
MigrantBlock,2004,2,0.22348718345165253
MigrantBlock,2005,3,0.15099058728925988
MigrantBlock,2006,4,0.007488896722321989
MigrantBlock,2007,3,-0.5488453734488714
MigrantBlock,2009,3,-0.6239347537358602
MigrantBlock,2010,4,0.20827237616380512
MigrantBlock,2011,5,-0.11724850363613307
MigrantBlock,2012,17,-0.5810901038450842
MigrantBlock,2013,26,-0.4105132518339217
MigrantBlock,2014,37,-0.3849355636225261
MigrantBlock,2015,41,-0.46265999605692676
MigrantBlock,2016,59,-0.3936388141964096
MigrantBlock,2017,32,-0.45263911518461675
MigrantBlock,2018,48,-0.3786193478739918
MigrantBlock,2019,56,-0.421200082967391
MigrantBlock,2020,78,-0.4174956929183665
MigrantBlock,2021,254,-0.44684127934348633
MigrantBlock,2022,511,-0.4699654303590371
MigrantBlock,2023,250,-0.5005701953694154
MigrantBlock,2024,313,-0.5127242453482568
MigrantBlock,2025,63,-0.4822516517912518
Russian,1999,2,-0.1729006183957488
Russian,2000,5,0.22487250520188215
Russian,2001,8,-0.0902654832332195
Russian,2002,12,0.15173037541354525
Russian,2003,9,0.23659383966492037
Russian,2004,5,0.08325418829917908
Russian,2005,7,-0.5016548680002186
Russian,2006,9,0.33102411495314704
Russian,2007,7,0.06072485112745218
Russian,2008,6,-0.3556626889321955
Russian,2009,7,-0.22379403447821028
Russian,2010,24,-0.03073104288968927
Russian,2011,22,0.006000439830199641
Russian,2012,24,-0.1153377016224284
Russian,2013,31,0.0023943906998297577
Russian,2014,18,0.14241170586970592
Russian,2015,48,-0.2225944015499932
Russian,2016,26,-0.3067731824888088
Russian,2017,20,-0.2912213162237599
Russian,2018,18,-0.3015042728980866
Russian,2019,25,-0.28751347254597454
Russian,2020,43,-0.2575226468421394
Russian,2021,22,-0.45039524812753606
Russian,2022,126,-0.3953021185280834
Russian,2023,33,-0.4925509431159584
Russian,2024,18,-0.5839013955806269
Russian,2025,49,-0.23021667061580087
Syrian,2000,3,0.10578853956804583
Syrian,2001,1,-0.2779657762983571
Syrian,2002,3,0.022347532977774684
Syrian,2004,4,0.08847993004302948
Syrian,2005,1,-0.2437363639473915
Syrian,2006,2,-0.30348305173160495
Syrian,2009,3,-0.250040434968388
Syrian,2010,2,-0.5381702151563432
Syrian,2011,5,-0.1725411740631197
Syrian,2012,20,-0.4562428421097707
Syrian,2013,24,-0.3364030484464979
Syrian,2014,42,-0.48405260605724204
Syrian,2015,43,-0.49249564391862327
Syrian,2016,52,-0.3321244576375651
Syrian,2017,55,-0.4351639697389338
Syrian,2018,57,-0.37608537993520935
Syrian,2019,128,-0.40540193641122285
Syrian,2020,55,-0.43869110155611835
Syrian,2021,75,-0.44124226728775073
Syrian,2022,202,-0.5107555649726444
Syrian,2023,92,-0.5791306841305677
Syrian,2024,203,-0.5587603980051677
Syrian,2025,91,-0.4224164607387697
Ukrainian,2000,1,-0.03302373227320219
Ukrainian,2001,1,0.26128791623255787
Ukrainian,2003,5,0.06961103347214785
Ukrainian,2004,11,0.034471489888526906
Ukrainian,2005,4,-0.020881474018096924
Ukrainian,2006,1,-0.1028431385028653
Ukrainian,2009,3,0.03160241757120404
Ukrainian,2010,3,-0.530471583566316
Ukrainian,2011,13,-0.018281330417571975
Ukrainian,2012,14,0.0982160117647104
Ukrainian,2013,22,-0.30095849402201647
Ukrainian,2014,114,-0.2062302351981533
Ukrainian,2015,33,-0.07838349058557878
Ukrainian,2016,16,0.18670480967261877
Ukrainian,2017,27,-0.19079232757998546
Ukrainian,2018,9,0.04874907512210951
Ukrainian,2019,14,-0.31150515655609556
Ukrainian,2020,9,-0.11082838203027251
Ukrainian,2021,3,-0.16017726150713552
Ukrainian,2022,150,-0.29196842869392386
Ukrainian,2023,45,-0.3895984880087535
Ukrainian,2024,49,-0.32914566480682694
Ukrainian,2025,37,-0.26431528130799536
